file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader$Anonymous1,anonymous,0,1,1,0,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,class,2,11,1,20,1,NaN,NaN,2,2,1,1,0,0,1,0,0,0,5,5,0,5,0,0,5,0,9,72,0,0,3,3,0,21,4,18,6,16,4,1,0,0,85,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-document\src\main\java\com\iluwatar\abstractdocument\AbstractDocument.java,com.iluwatar.abstractdocument.AbstractDocument,class,5,5,1,16,0,0.0,0.0,5,0,4,0,1,0,5,0,0,0,1,0,0,1,0,0,1,0,1,24,4,0,0,0,0,6,0,2,0,5,0,0,0,2,23,1025,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-document\src\main\java\com\iluwatar\abstractdocument\App.java,com.iluwatar.abstractdocument.App,class,6,1,1,12,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,11,3,4,0,5,0,0,0,1,49,1,6
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-document\src\main\java\com\iluwatar\abstractdocument\Document.java,com.iluwatar.abstractdocument.Document,interface,1,3,1,0,3,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-document\src\main\java\com\iluwatar\abstractdocument\domain\Car.java,com.iluwatar.abstractdocument.domain.Car,class,4,1,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-document\src\main\java\com\iluwatar\abstractdocument\domain\enums\Property.java,com.iluwatar.abstractdocument.domain.enums.Property,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-document\src\main\java\com\iluwatar\abstractdocument\domain\HasModel.java,com.iluwatar.abstractdocument.domain.HasModel,interface,1,1,1,3,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-document\src\main\java\com\iluwatar\abstractdocument\domain\HasParts.java,com.iluwatar.abstractdocument.domain.HasParts,interface,2,1,1,2,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-document\src\main\java\com\iluwatar\abstractdocument\domain\HasPrice.java,com.iluwatar.abstractdocument.domain.HasPrice,interface,1,1,1,3,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
