nameWithOwner,url,createdAt,stargazerCount,name,updatedAt,primaryLanguage.name,pullRequests.totalCount,releases.totalCount,releases.nodes,open.totalCount,closed.totalCount
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,2018-02-13T14:56:24Z,137888,CS-Notes,2021-09-07T22:03:06Z,Java,375,0,[],76,430
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,110262,JavaGuide,2021-09-07T22:02:13Z,Java,516,0,[],55,601
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,69830,java-design-patterns,2021-09-07T22:03:11Z,Java,764,0,[],227,450
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,66769,LeetCodeAnimation,2021-09-07T18:23:52Z,Java,63,0,[],11,42
doocs/advanced-java,https://github.com/doocs/advanced-java,2018-10-06T11:38:30Z,57086,advanced-java,2021-09-07T19:01:30Z,Java,61,0,[],5,113
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,57036,spring-boot,2021-09-07T17:48:11Z,Java,41,106,"[{""createdAt"":""2018-09-12T08:28:53Z""},{""createdAt"":""2018-09-13T04:14:30Z""},{""createdAt"":""2018-09-25T00:00:15Z""},{""createdAt"":""2018-10-16T08:44:32Z""},{""createdAt"":""2018-10-16T13:52:14Z""},{""createdAt"":""2018-10-17T13:53:33Z""},{""createdAt"":""2018-10-30T09:00:36Z""},{""createdAt"":""2018-11-29T09:52:31Z""},{""createdAt"":""2018-11-30T01:58:47Z""},{""createdAt"":""2018-11-30T08:15:04Z""},{""createdAt"":""2019-01-11T15:58:52Z""},{""createdAt"":""2019-01-11T18:17:45Z""},{""createdAt"":""2019-01-12T02:13:30Z""},{""createdAt"":""2019-02-15T10:04:43Z""},{""createdAt"":""2019-03-08T14:58:40Z""},{""createdAt"":""2019-04-03T10:34:36Z""},{""createdAt"":""2019-04-03T13:44:28Z""},{""createdAt"":""2019-04-04T02:02:22Z""},{""createdAt"":""2019-04-16T11:59:29Z""},{""createdAt"":""2019-05-14T08:20:52Z""},{""createdAt"":""2019-05-15T07:19:08Z""},{""createdAt"":""2019-05-15T06:58:59Z""},{""createdAt"":""2019-06-18T23:41:35Z""},{""createdAt"":""2019-06-19T07:06:12Z""},{""createdAt"":""2019-08-06T06:37:56Z""},{""createdAt"":""2019-08-06T08:00:39Z""},{""createdAt"":""2019-08-06T12:16:16Z""},{""createdAt"":""2019-09-05T14:02:34Z""},{""createdAt"":""2019-09-10T11:01:21Z""},{""createdAt"":""2019-10-02T14:15:18Z""},{""createdAt"":""2019-10-03T09:33:59Z""},{""createdAt"":""2019-10-16T16:43:13Z""},{""createdAt"":""2019-11-06T10:00:25Z""},{""createdAt"":""2019-11-06T21:16:29Z""},{""createdAt"":""2019-12-05T22:26:38Z""},{""createdAt"":""2019-12-06T05:56:11Z""},{""createdAt"":""2020-01-16T10:51:08Z""},{""createdAt"":""2020-01-16T14:18:31Z""},{""createdAt"":""2020-01-20T17:51:57Z""},{""createdAt"":""2020-01-23T19:17:15Z""},{""createdAt"":""2020-02-13T21:02:42Z""},{""createdAt"":""2020-02-27T09:33:57Z""},{""createdAt"":""2020-02-27T12:09:33Z""},{""createdAt"":""2020-03-12T16:08:41Z""},{""createdAt"":""2020-03-26T11:12:20Z""},{""createdAt"":""2020-04-03T10:58:28Z""},{""createdAt"":""2020-05-01T04:05:11Z""},{""createdAt"":""2020-05-07T13:20:00Z""},{""createdAt"":""2020-05-07T14:32:37Z""},{""createdAt"":""2020-05-15T01:13:27Z""},{""createdAt"":""2020-06-11T08:04:41Z""},{""createdAt"":""2020-06-11T12:09:03Z""},{""createdAt"":""2020-06-11T22:49:43Z""},{""createdAt"":""2020-06-29T13:47:50Z""},{""createdAt"":""2020-07-23T21:01:18Z""},{""createdAt"":""2020-07-24T07:55:55Z""},{""createdAt"":""2020-07-24T17:33:49Z""},{""createdAt"":""2020-08-13T15:36:31Z""},{""createdAt"":""2020-08-13T22:16:03Z""},{""createdAt"":""2020-09-17T06:24:55Z""},{""createdAt"":""2020-09-17T10:01:06Z""},{""createdAt"":""2020-09-17T12:51:01Z""},{""createdAt"":""2020-09-17T20:28:26Z""},{""createdAt"":""2020-10-15T20:54:01Z""},{""createdAt"":""2020-10-29T10:13:42Z""},{""createdAt"":""2020-10-29T12:41:25Z""},{""createdAt"":""2020-10-29T22:12:12Z""},{""createdAt"":""2020-10-30T01:07:42Z""},{""createdAt"":""2020-11-12T08:28:56Z""},{""createdAt"":""2020-11-12T13:53:43Z""},{""createdAt"":""2020-12-10T15:24:36Z""},{""createdAt"":""2020-12-11T05:37:54Z""},{""createdAt"":""2020-12-11T06:59:56Z""},{""createdAt"":""2021-01-14T08:38:14Z""},{""createdAt"":""2021-01-14T18:22:28Z""},{""createdAt"":""2021-01-15T02:55:04Z""},{""createdAt"":""2021-01-22T01:35:07Z""},{""createdAt"":""2021-02-18T08:50:46Z""},{""createdAt"":""2021-02-18T14:05:33Z""},{""createdAt"":""2021-02-19T01:20:00Z""},{""createdAt"":""2021-03-18T08:34:35Z""},{""createdAt"":""2021-03-19T05:58:56Z""},{""createdAt"":""2021-04-15T09:34:05Z""},{""createdAt"":""2021-04-15T11:27:10Z""},{""createdAt"":""2021-04-16T01:59:54Z""},{""createdAt"":""2021-05-20T07:59:23Z""},{""createdAt"":""2021-05-20T09:46:45Z""},{""createdAt"":""2021-05-20T22:56:11Z""},{""createdAt"":""2021-06-10T08:14:48Z""},{""createdAt"":""2021-06-10T10:25:43Z""},{""createdAt"":""2021-06-10T17:45:16Z""},{""createdAt"":""2021-06-24T10:50:46Z""},{""createdAt"":""2021-06-24T22:18:59Z""},{""createdAt"":""2021-07-22T09:44:08Z""},{""createdAt"":""2021-07-22T13:48:08Z""},{""createdAt"":""2021-07-22T21:39:06Z""},{""createdAt"":""2021-08-19T10:02:54Z""},{""createdAt"":""2021-08-19T11:42:51Z""},{""createdAt"":""2021-08-19T16:45:01Z""}]",454,22322
elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08T13:20:56Z,56360,elasticsearch,2021-09-07T21:58:43Z,Java,41921,56,"[{""createdAt"":""2019-06-20T14:45:23Z""},{""createdAt"":""2019-06-25T15:51:40Z""},{""createdAt"":""2019-07-30T16:25:42Z""},{""createdAt"":""2019-07-30T16:29:32Z""},{""createdAt"":""2019-07-31T14:50:18Z""},{""createdAt"":""2019-08-22T15:53:52Z""},{""createdAt"":""2019-09-05T17:33:29Z""},{""createdAt"":""2019-09-12T17:02:11Z""},{""createdAt"":""2019-10-01T14:30:12Z""},{""createdAt"":""2019-10-23T14:22:13Z""},{""createdAt"":""2019-10-23T14:23:41Z""},{""createdAt"":""2019-10-31T16:33:27Z""},{""createdAt"":""2019-11-20T16:57:04Z""},{""createdAt"":""2019-12-02T16:08:57Z""},{""createdAt"":""2019-12-18T17:35:34Z""},{""createdAt"":""2019-12-18T18:46:23Z""},{""createdAt"":""2020-01-21T19:17:03Z""},{""createdAt"":""2020-02-11T16:35:18Z""},{""createdAt"":""2020-03-04T17:38:37Z""},{""createdAt"":""2020-03-04T17:46:31Z""},{""createdAt"":""2020-03-31T16:35:50Z""},{""createdAt"":""2020-03-31T16:42:07Z""},{""createdAt"":""2020-05-13T14:14:59Z""},{""createdAt"":""2020-05-13T14:55:03Z""},{""createdAt"":""2020-06-03T14:02:02Z""},{""createdAt"":""2020-06-03T14:07:54Z""},{""createdAt"":""2020-06-18T13:28:20Z""},{""createdAt"":""2020-07-27T14:42:35Z""},{""createdAt"":""2020-07-27T14:43:28Z""},{""createdAt"":""2020-08-18T14:25:07Z""},{""createdAt"":""2020-08-18T14:37:48Z""},{""createdAt"":""2020-09-03T15:17:21Z""},{""createdAt"":""2020-09-24T14:18:14Z""},{""createdAt"":""2020-10-22T13:18:51Z""},{""createdAt"":""2020-10-22T13:44:23Z""},{""createdAt"":""2020-11-11T15:38:11Z""},{""createdAt"":""2020-12-09T14:58:07Z""},{""createdAt"":""2021-01-14T17:20:13Z""},{""createdAt"":""2021-02-10T15:27:15Z""},{""createdAt"":""2021-02-10T15:32:53Z""},{""createdAt"":""2021-02-17T16:24:49Z""},{""createdAt"":""2021-03-10T15:05:27Z""},{""createdAt"":""2021-03-23T15:14:46Z""},{""createdAt"":""2021-03-23T15:20:29Z""},{""createdAt"":""2021-04-27T16:56:07Z""},{""createdAt"":""2021-05-25T12:43:09Z""},{""createdAt"":""2021-05-25T12:48:31Z""},{""createdAt"":""2021-06-02T15:11:25Z""},{""createdAt"":""2021-06-14T19:25:23Z""},{""createdAt"":""2021-07-07T17:21:40Z""},{""createdAt"":""2021-07-07T17:39:37Z""},{""createdAt"":""2021-07-20T14:26:04Z""},{""createdAt"":""2021-08-03T13:35:20Z""},{""createdAt"":""2021-08-03T13:36:13Z""},{""createdAt"":""2021-08-10T20:07:43Z""},{""createdAt"":""2021-09-01T16:30:57Z""}]",3056,24808
kdn251/interviews,https://github.com/kdn251/interviews,2017-02-14T18:19:25Z,53811,interviews,2021-09-07T21:47:09Z,Java,42,0,[],28,18
macrozheng/mall,https://github.com/macrozheng/mall,2018-04-04T01:11:44Z,52250,mall,2021-09-07T15:48:09Z,Java,0,1,"[{""createdAt"":""2020-08-06T12:23:56Z""}]",19,381
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,2013-01-08T20:11:48Z,45144,RxJava,2021-09-07T18:52:36Z,Java,3035,225,"[{""createdAt"":""2017-03-23T17:27:58Z""},{""createdAt"":""2017-03-24T08:31:33Z""},{""createdAt"":""2017-03-29T08:00:14Z""},{""createdAt"":""2017-04-21T09:42:32Z""},{""createdAt"":""2017-04-26T07:36:45Z""},{""createdAt"":""2017-04-29T07:16:14Z""},{""createdAt"":""2017-05-05T07:49:16Z""},{""createdAt"":""2017-06-21T08:02:29Z""},{""createdAt"":""2017-07-23T08:04:46Z""},{""createdAt"":""2017-08-15T15:35:40Z""},{""createdAt"":""2017-09-10T16:21:42Z""},{""createdAt"":""2017-09-15T07:35:00Z""},{""createdAt"":""2017-09-22T08:31:03Z""},{""createdAt"":""2017-10-03T08:22:20Z""},{""createdAt"":""2017-10-03T09:09:39Z""},{""createdAt"":""2017-10-03T09:09:39Z""},{""createdAt"":""2017-10-03T09:34:11Z""},{""createdAt"":""2017-10-05T08:06:27Z""},{""createdAt"":""2017-10-19T08:54:04Z""},{""createdAt"":""2017-10-27T07:20:13Z""},{""createdAt"":""2017-11-19T10:40:40Z""},{""createdAt"":""2017-11-27T08:46:47Z""},{""createdAt"":""2017-12-27T11:03:50Z""},{""createdAt"":""2018-01-24T08:24:22Z""},{""createdAt"":""2018-01-27T11:28:37Z""},{""createdAt"":""2018-02-15T19:53:01Z""},{""createdAt"":""2018-02-24T10:17:51Z""},{""createdAt"":""2018-03-20T15:36:48Z""},{""createdAt"":""2018-03-21T16:44:07Z""},{""createdAt"":""2018-03-23T16:50:22Z""},{""createdAt"":""2018-03-31T15:27:03Z""},{""createdAt"":""2018-04-27T09:09:37Z""},{""createdAt"":""2018-05-06T14:31:08Z""},{""createdAt"":""2018-05-23T07:25:01Z""},{""createdAt"":""2018-06-22T07:39:12Z""},{""createdAt"":""2018-06-26T07:45:57Z""},{""createdAt"":""2018-07-23T07:21:10Z""},{""createdAt"":""2018-07-31T07:28:56Z""},{""createdAt"":""2018-08-23T08:22:23Z""},{""createdAt"":""2018-09-06T07:30:42Z""},{""createdAt"":""2018-10-23T09:11:52Z""},{""createdAt"":""2018-11-23T07:43:18Z""},{""createdAt"":""2018-12-31T09:57:09Z""},{""createdAt"":""2019-01-23T09:53:39Z""},{""createdAt"":""2019-02-23T08:37:49Z""},{""createdAt"":""2019-03-26T15:08:13Z""},{""createdAt"":""2019-05-30T07:08:32Z""},{""createdAt"":""2019-06-21T05:33:56Z""},{""createdAt"":""2019-06-24T14:55:56Z""},{""createdAt"":""2019-07-12T06:14:02Z""},{""createdAt"":""2019-08-02T06:23:52Z""},{""createdAt"":""2019-08-16T12:51:17Z""},{""createdAt"":""2019-08-25T18:30:24Z""},{""createdAt"":""2019-09-17T07:21:17Z""},{""createdAt"":""2019-10-03T07:46:59Z""},{""createdAt"":""2019-10-18T08:11:45Z""},{""createdAt"":""2019-11-02T14:05:42Z""},{""createdAt"":""2019-11-14T23:06:34Z""},{""createdAt"":""2019-11-24T08:37:35Z""},{""createdAt"":""2019-12-06T07:59:14Z""},{""createdAt"":""2019-12-15T07:15:28Z""},{""createdAt"":""2019-12-28T17:05:30Z""},{""createdAt"":""2020-01-12T15:50:06Z""},{""createdAt"":""2020-01-16T08:08:32Z""},{""createdAt"":""2020-01-30T15:14:12Z""},{""createdAt"":""2020-02-13T17:13:56Z""},{""createdAt"":""2020-02-21T17:17:32Z""},{""createdAt"":""2020-03-13T08:01:13Z""},{""createdAt"":""2020-03-08T21:24:20Z""},{""createdAt"":""2020-04-04T09:29:22Z""},{""createdAt"":""2020-04-27T08:46:40Z""},{""createdAt"":""2020-05-21T08:11:47Z""},{""createdAt"":""2020-07-30T07:23:35Z""},{""createdAt"":""2020-08-19T08:55:25Z""},{""createdAt"":""2020-10-06T07:07:35Z""},{""createdAt"":""2020-10-06T21:00:02Z""},{""createdAt"":""2020-12-01T08:26:46Z""},{""createdAt"":""2020-12-02T11:09:46Z""},{""createdAt"":""2020-12-02T11:09:46Z""},{""createdAt"":""2020-12-02T12:44:29Z""},{""createdAt"":""2020-12-15T07:58:55Z""},{""createdAt"":""2021-02-01T08:47:57Z""},{""createdAt"":""2021-02-05T16:48:08Z""},{""createdAt"":""2021-02-05T19:00:22Z""},{""createdAt"":""2021-02-05T19:27:48Z""},{""createdAt"":""2021-02-13T09:13:43Z""},{""createdAt"":""2021-02-13T09:10:37Z""},{""createdAt"":""2021-02-16T08:40:53Z""},{""createdAt"":""2021-03-05T09:30:00Z""},{""createdAt"":""2021-03-26T22:07:08Z""},{""createdAt"":""2021-03-26T22:07:08Z""},{""createdAt"":""2021-04-16T06:32:51Z""},{""createdAt"":""2021-04-17T16:00:37Z""},{""createdAt"":""2021-04-26T10:28:44Z""},{""createdAt"":""2021-05-03T10:08:09Z""},{""createdAt"":""2021-05-14T20:08:20Z""},{""createdAt"":""2021-05-31T08:58:59Z""},{""createdAt"":""2021-08-04T09:10:47Z""},{""createdAt"":""2021-08-26T10:09:37Z""}]",10,3049
